Loss 9.293556618301764e-06, Test Accuracy 0.993760867352071, Train Accuracy 0.9999865424435578, Val Accuracy 0.9831086835135584, Test Seq Accuracy 0.861, Train Seq Accuracy 0.9996904761904764, Val Seq Accuracy 0.6332500000000001
Loss 3.976821418568168e-06, Test Accuracy 0.9944130416797555, Train Accuracy 1.0, Val Accuracy 0.9809239010448041, Test Seq Accuracy 0.8715000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.58775
Loss 4.063689392869887e-06, Test Accuracy 0.9859347739945288, Train Accuracy 1.0, Val Accuracy 0.9815869466118191, Test Seq Accuracy 0.7027500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6007500000000001
Loss 3.172832847390648e-06, Test Accuracy 0.9910652116588924, Train Accuracy 1.0, Val Accuracy 0.9830978160319122, Test Seq Accuracy 0.8124999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.62875
Loss 2.2751353200241598e-06, Test Accuracy 0.9919782550438591, Train Accuracy 1.0, Val Accuracy 0.9832717296869858, Test Seq Accuracy 0.8320000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.63125
Loss 0.00012112099110432293, Test Accuracy 0.9920543421869693, Train Accuracy 0.9999616977097332, Val Accuracy 0.9741956399834675, Test Seq Accuracy 0.8172500000000001, Train Seq Accuracy 0.9991190476190481, Val Seq Accuracy 0.49275
Loss 2.516663896486811e-05, Test Accuracy 0.9950760847848394, Train Accuracy 0.9999917184097179, Val Accuracy 0.9835869441861692, Test Seq Accuracy 0.8867500000000001, Train Seq Accuracy 0.999809523809524, Val Seq Accuracy 0.647
Loss 2.8633864333286233e-05, Test Accuracy 0.9921412982370542, Train Accuracy 0.9999782608779567, Val Accuracy 0.9789782485236292, Test Seq Accuracy 0.8192499999999999, Train Seq Accuracy 0.9995000000000005, Val Seq Accuracy 0.5752499999999999
Loss 8.07845081789824e-06, Test Accuracy 0.9923912990352382, Train Accuracy 1.0, Val Accuracy 0.9820760756731033, Test Seq Accuracy 0.8249999999999998, Train Seq Accuracy 1.0, Val Seq Accuracy 0.60975
Loss 5.751692578601449e-06, Test Accuracy 0.9933912991181664, Train Accuracy 1.0, Val Accuracy 0.9814565094916717, Test Seq Accuracy 0.8479999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5965
Loss 5.433041065850335e-06, Test Accuracy 0.9925978225210439, Train Accuracy 0.9999989648042998, Val Accuracy 0.9821412931317869, Test Seq Accuracy 0.82975, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.6057499999999999
Loss 3.77854043820306e-05, Test Accuracy 0.9862065151981686, Train Accuracy 0.9999906832386988, Val Accuracy 0.9773369465185249, Test Seq Accuracy 0.68275, Train Seq Accuracy 0.9997857142857145, Val Seq Accuracy 0.5497500000000002
Loss 1.359628589378427e-05, Test Accuracy 0.9922173865463423, Train Accuracy 1.0, Val Accuracy 0.9734239030143489, Test Seq Accuracy 0.8210000000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.45125000000000004
Loss 9.19528626938067e-06, Test Accuracy 0.9931304303200349, Train Accuracy 1.0, Val Accuracy 0.9770434687966886, Test Seq Accuracy 0.842, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5175
Loss 5.119780404999366e-06, Test Accuracy 0.9930652127317761, Train Accuracy 1.0, Val Accuracy 0.9814673813788787, Test Seq Accuracy 0.8404999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.595
Loss 4.478122877038044e-06, Test Accuracy 0.9916847775811735, Train Accuracy 1.0, Val Accuracy 0.9832173852816872, Test Seq Accuracy 0.8087500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.614
Loss 9.900798550402017e-06, Test Accuracy 0.9895326013150423, Train Accuracy 0.9999958592171995, Val Accuracy 0.973999987218691, Test Seq Accuracy 0.7927500000000001, Train Seq Accuracy 0.999904761904762, Val Seq Accuracy 0.48724999999999996
